task_name,pct
accept commissions to create music for special occasions.,0.0020541557625231
act as advisers to student organizations.,0.0048272660419294
act as an advocate for farmers or farmers' groups.,0.0016433246100185
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.0047245582538032
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.0070868373807049
act as liaisons between on-site managers or tenants and owners.,0.0027731102794062
adapt instructional content or delivery methods for different levels or types of learners.,0.2042857905829283
adapt or design computer hardware or software for medical science uses.,0.0038001881606678
adapt software and accompanying technical documents to another language and culture.,0.0036974803725416
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.1294118130389591
adapt text to accommodate musical requirements of composers and singers.,0.0118113956345081
adapt the quantity of ingredients to match the amount of items to be baked.,0.0031839414319108
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.029271719615955
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",0.0017460323981446
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",0.0023622791269016
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.2279085818519446
"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",0.0021568635506493
"adjust digital files to alter print elements, such as fonts, graphics, or color separations.",0.0055462205588125
adjust sales scripts to better target the needs and interests of specific individuals.,0.0048272660419294
"adjust, maintain, or repair laboratory equipment such as microscopes.",0.0016433246100185
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.0041083115250463
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.0089355775669757
"administer highway planning, construction, or maintenance.",0.0034920647962893
administer online purchasing systems.,0.0063678828638217
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.0042110193131724
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.0135574280326528
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.0192063563795915
"administer, proctor, or score academic or diagnostic assessments.",0.0462185046567711
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.0301960897090904
"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",0.0023622791269016
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.0150980448545452
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.009757239871985
advise clients about proper clothing and shoes.,0.0024649869150277
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.0094491165076065
advise clients on financial and legal matters such as investments and taxes.,0.035126063539146
advise clients on how they could be helped by counseling.,0.0257796548196656
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.0376937582422999
advise clients on nail care and use of products and colors.,0.0026704024912801
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.003286649220037
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",0.0088328697788495
advise corporations on issues involving corporate image projects or problems.,0.0090382853551019
advise customer about or perform maintenance of software system.,0.0053408049825602
"advise customers concerning equipment operation, maintenance, or programming.",0.0025676947031539
advise customers of necessary actions and strategies for debt repayment.,0.0061624672875694
advise customers on plant selection or care.,0.0022595713387754
advise customers on product usage to improve production.,0.0016433246100185
advise customers on use and care of merchandise.,0.0038001881606678
advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,0.0016433246100185
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.0042110193131724
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,0.0140709669732836
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",0.001951447974397
advise internal management or business partners on the implementation or operation of compliance programs.,0.0040056037369201
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.0016433246100185
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.0221848822352501
advise management on matters related to the administration of contracts or employee discipline or grievance procedures.,0.0021568635506493
"advise management on organizing, preparing, or implementing recruiting or retention programs.",0.001951447974397
"advise management on short-term and long-term financial objectives, policies, and actions.",0.0028758180675324
"advise management on such matters as equal employment opportunity, sexual harassment and discrimination.",0.0028758180675324
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",0.009140993143228
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",0.0035947725844155
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",0.005854343923191
advise or assist in obtaining patents or meeting other legal requirements.,0.0167413694645637
advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,0.0680952635276427
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.0301960897090904
advise participants in use of heat or ultraviolet treatments and hot baths.,0.0036974803725416
advise patients about recommended courses of treatment.,0.0017460323981446
advise patients about therapeutic exercise and nutritional medicine regimens.,0.0048272660419294
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",0.0093464087194803
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.1100000410831152
"advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",0.0022595713387754
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",0.0029785258556585
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",0.0131465968801482
advise producers about improved products and techniques that could enhance their animal production efforts.,0.0047245582538032
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",0.0074976685332095
advise students on academic and vocational curricula and on career issues.,0.0242390379977732
"advise students on academic and vocational curricula, and on career issues.",0.0090382853551019
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",0.0025676947031539
"advise students on internships, prospective employers, and job placement services.",0.0040056037369201
"advise students on issues such as course selection, progress toward graduation, and career decisions.",0.0030812336437847
advocate for accessible health care that minimizes environmental health risks.,0.0034920647962893
"advocate for patients' and families' needs, or provide emotional support for patients and their families.",0.0018487401862708
"advocate for sustainability to community groups, government agencies, the general public, or special interest groups.",0.0023622791269016
"align, adjust, or calibrate equipment according to specifications.",0.0124276423632651
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",0.0112978566938773
"analyze a script, noting events that affect each character's appearance, so that plans can be made for each scene.",0.0125303501513912
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.0106816099651204
"analyze and characterize user experiences and institutional settings to assist consumer product developers, technology developers, and software engineers with the design of innovative products and services.",0.0069841295925787
analyze and classify risks and investments to determine their potential impacts on companies.,0.0367693881491645
"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",0.0055462205588125
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,0.0046218504656771
analyze and evaluate robotic systems or prototypes.,0.0062651750756956
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.0404668685217062
"analyze and implement engineering designs for producing electronic devices and systems and microprocessor-based control applications, applying principles of mathematics, digital signal processing, network analysis, and computer engineering.",0.0015406168218923
analyze and interpret data to increase the understanding of human social behavior.,0.040980407462337
analyze and interpret news and information received from various sources to broadcast the information.,0.0026704024912801
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",0.0123249345751389
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.0530999264612237
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",0.0387208361235615
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,0.007189545168831
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",0.0048272660419294
analyze and record personnel or operational data and write related activity reports.,0.0016433246100185
"analyze and record test data to issue reports that use charts, graphs, or narratives.",0.094285749499813
analyze and report computer network security breaches or attempted breaches.,0.0524836797324667
analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.,0.0226984211758809
"analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",0.0016433246100185
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",0.0016433246100185
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.0659383999769934
analyze changes designed to improve the environmental performance of complex systems to avoid unintended negative consequences.,0.0087301619907234
analyze characteristics of animals to identify and classify them.,0.0315312909547305
"analyze chromosomes found in biological specimens to aid diagnoses and treatments for genetic diseases such as congenital birth defects, fertility problems, and hematological disorders.",0.0030812336437847
analyze clinical data using appropriate statistical tools.,0.0177684473458253
"analyze clinical or survey data using statistical approaches such as longitudinal analysis, mixed effect modeling, logistic regression analyses, and model building techniques.",0.0055462205588125
"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",0.0062651750756956
"analyze competitive market strategies through analysis of related product, market, or share trends.",0.0172549084051945
analyze completed police reports to determine what additional information and investigative work is needed.,0.0025676947031539
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",0.0111951489057512
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",0.0080112074738403
"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",0.0199253108964746
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.0042110193131724
"analyze data from surveys, old records, or case studies, using statistical software.",0.1057890217699427
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",0.0288608884634504
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,0.0375910504541738
analyze data to determine answers to questions from customers or members of the public.,0.0722035750526891
analyze data to determine feasibility of product proposals.,0.0031839414319108
analyze data to determine the effectiveness of specific treatments or therapy approaches.,0.0180765707102038
analyze data to determine the effectiveness of treatments or therapy approaches.,0.0159197071595544
"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects.",0.0074976685332095
"analyze data, using statistical methods and applications, to evaluate the outcomes and effectiveness of workplace programs.",0.0022595713387754
analyze details of sales territories to assess their growth potential and to set quotas.,0.001951447974397
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",0.0030812336437847
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,0.2535855288834842
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",0.0048272660419294
analyze employment-related data and prepare required reports.,0.0015406168218923
analyze energy bills including utility rates or tariffs to gather historical energy usage data.,0.001951447974397
analyze equipment performance records to assess equipment functioning.,0.0098599476601111
analyze equipment performance records to determine the need for repair or replacement.,0.0069841295925787
analyze existing development or manufacturing procedures and suggest improvements.,0.0042110193131724
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.0174603239814468
analyze experimental data and interpret results to write reports and summaries of findings.,0.1362932348434117
"analyze factors such as weather reports, fuel requirements, or maps to determine air routes.",0.0018487401862708
analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,0.0225957133877547
"analyze financial data such as income growth, quality of management, and market share to determine expected profitability of loans.",0.0028758180675324
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",0.0027731102794062
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,0.0422129009198509
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,0.0649113220957318
analyze genetic information to identify patients or families at risk for specific disorders or syndromes.,0.0027731102794062
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",0.0043137271012986
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",0.0046218504656771
analyze green product marketing or sales trends to forecast future conditions.,0.0026704024912801
"analyze historical climate information, such as precipitation or temperature records, to help predict future weather or climate trends.",0.0017460323981446
analyze information from traffic counting programs.,0.0084220386263449
analyze information gathered by investigation and report findings and recommendations.,0.0101680710244896
analyze information obtained from management to conceptualize and define operational problems.,0.0229038367521332
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",0.0350233557510198
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",0.1102054566593675
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",0.018898233015213
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",0.5994026515042583
"analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions.",0.0016433246100185
analyze laboratory findings to check the accuracy of the results.,0.0180765707102038
"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes.",0.047450998114285
"analyze logistics data, using methods such as data mining, data modeling, or cost or benefit analysis.",0.003286649220037
analyze market conditions to determine optimum times to execute securities transactions.,0.0196171875320961
"analyze menus or recipes, standardize recipes, or test new products.",0.0045191426775509
analyze monthly department budgeting and accounting reports to maintain expenditure controls.,0.0017460323981446
"analyze network data to determine network usage, disk space availability, or server function.",0.0146872137020405
analyze new medical procedures to forecast likely outcomes.,0.0018487401862708
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.0485807837836727
analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.,0.0020541557625231
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",0.0046218504656771
"analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",0.0213632199302408
analyze or synthesize client data to draw conclusions or make recommendations for art therapy.,0.0033893570081632
analyze or synthesize client data to draw conclusions or make recommendations for therapy.,0.0148926292782929
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.2628292298148384
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.2417741332489759
"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color.",0.0062651750756956
"analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure.",0.0021568635506493
analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,0.0021568635506493
analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,0.2701214827717956
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",0.0456022579280141
analyze physical findings and medical histories to make diagnoses according to oriental medicine traditions.,0.0067787140163264
analyze potential loan markets and develop referral networks to locate prospects for loans.,0.0051353894063079
analyze potential loan markets to find opportunities to promote loans and financial services.,0.0053408049825602
analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,0.0016433246100185
"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",0.0085247464144711
analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.,0.0017460323981446
analyze problems to develop solutions involving computer hardware and software.,0.1227358068107588
analyze product complaints and make recommendations regarding their reportability.,0.0028758180675324
"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",0.0017460323981446
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",0.0246498691502779
"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",0.0054435127706863
"analyze research data to determine its significance, using computers.",0.0712792049595536
analyze samples of biological material for chemical content or reaction.,0.0033893570081632
"analyze samples, such as air or water samples, for contaminants or other elements.",0.0018487401862708
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,0.0068814218044525
analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.,0.0131465968801482
analyze system performance or operational requirements.,0.0675817245870119
analyze target companies or investment opportunities to inform investment decisions.,0.0803174903146555
analyze technology trends to identify markets for future product development or to improve sales of existing products.,0.0023622791269016
"analyze test data for automotive systems, subsystems, or component parts.",0.0061624672875694
"analyze test data, making computations as necessary, to determine test results.",0.1500560784523169
analyze test results and develop a treatment plan.,0.0080112074738403
"analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",0.003902895948794
analyze the effectiveness of marketing tactics or channels.,0.0406722840979585
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",0.0171522006170683
"analyze the financial impact of proposed logistics changes, such as routing, shipping modes, product volumes or mixes, or carriers.",0.0036974803725416
"analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.",0.0114005644820035
